"FOLIO","VIV_SEL","HOGAR","N_REN","P6_1_01","P6_1_02","P6_1_03","P6_1_04","P6_1_05","P6_1_06","P6_1_07","P6_1_08","P6_1_09","P6_1_10","P6_2_1","P6_3A_1","P6_3B_1","P6_3C_1","P6_3D_1","P6_2_2","P6_3A_2","P6_3B_2","P6_3C_2","P6_3D_2","P6_2_3","P6_3A_3","P6_3B_3","P6_3C_3","P6_3D_3","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_6_1","P6_6_2","P6_6_3","P6_6_4","P6_6_5","P6_6_6","P6_6_7","P6_6_8","P6_6_9","EST_DIS","UPM_DIS","FACTOR"
"0102167","19","1","02","1","2","1","2","2","2","2","2","2","2","2","2","3","1","2","","","","","","1","3","1","1","4","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","008","0000214",429
"0102186","12","1","04","1","1","2","2","2","2","2","2","2","2","2","4","3","4","3","2","4","4","4","3","","","","","","1","1","1","1","2","1","2","2","2","1","2","2","2","2","2","2","2","2","007","0000216",1137
"0102267","17","1","04","1","1","2","2","2","2","2","2","2","2","1","1","2","2","1","1","2","2","2","1","","","","","","1","1","1","2","2","2","2","2","2","1","2","1","2","2","1","2","2","2","009","0000218",1115
"0102320","18","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","3","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","009","0000222",1005
"0102333","16","1","03","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","","","","","","2","2","2","2","2","1","1","2","2","2","2","2","2","2","1","2","2","2","009","0000223",976
"0102333","18","1","04","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","009","0000223",976
"0102348","05","1","03","1","1","2","2","2","2","2","2","2","2","2","2","4","4","4","2","3","3","3","3","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","009","0000224",1576
"0102348","13","1","03","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","2","4","4","3","2","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","009","0000224",946
"0102352","08","1","03","1","1","2","2","2","2","2","2","2","2","2","1","2","2","3","2","1","2","2","1","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","009","0000225",881
"0160004","08","1","05","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","3","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","1","1","2","2","2","010","0000226",2051
"0160074","06","1","03","1","2","2","2","2","2","2","2","2","2","2","5","1","1","1","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","010","0000230",562
"0160074","18","1","04","1","1","2","2","2","2","2","2","2","2","2","3","3","4","4","2","4","4","4","4","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","010","0000230",1493
"0160079","02","1","03","1","2","2","2","2","2","2","2","2","2","2","1","1","1","2","","","","","","","","","","","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","010","0000232",1334
"0160079","18","1","02","1","2","2","2","2","2","2","2","2","2","2","1","1","2","3","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","010","0000232",837
"0160086","07","1","02","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","","","","","","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","010","0000233",1198
"0160086","09","1","04","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","3","1","2","2","2","","","","","","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","2","010","0000233",1597
"0160207","15","1","02","2","1","1","2","2","2","2","2","2","2","","","","","","2","2","3","4","4","2","1","3","4","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","010","0000236",886
"0160245","02","1","04","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","1","2","2","010","0000237",1885
"0160245","08","1","04","1","1","2","2","2","2","2","2","2","2","2","1","4","4","1","2","4","4","4","1","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","010","0000237",1775
"0160247","04","1","02","1","2","2","2","2","2","2","2","2","2","2","2","1","3","4","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","010","0000238",1086
"0160247","18","1","03","1","2","2","2","2","2","2","2","2","2","3","1","1","1","1","","","","","","","","","","","1","1","1","1","2","1","2","1","2","2","2","2","2","2","1","2","2","2","010","0000238",1086
"0160254","19","1","03","1","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","3","3","3","","","","","","2","1","2","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","010","0000239",2178
"0200440","04","1","03","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","020","0000253",2486
